Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,92.9169921875,155.25390625,68.9140625,3,16.0
apt-get,61.48198084677419,155.34375,67.4921875,5,31.0
cc1,143.7265625,143.7265625,127.5859375,1,6.0
containerd,1378.0516183035713,1440.88671875,47.2734375,20,112.0
discern-file-so,1704.4237616099072,1720.375,447.484375,120,646.0
discern-jupyter,1204.70703125,1204.70703125,12.1015625,2,8.0
discern-logs-so,1205.6796875,1205.6796875,16.91015625,5,24.0
discern-network,2275.9704136602963,2290.21484375,170.609375,119,641.0
discern-proc-so,1206.42578125,1206.42578125,18.23828125,6,29.0
docker,1337.812119222689,1453.3828125,57.09375,109,595.0
dockerd,1490.1860755166126,1558.87109375,116.3125,114,617.0
dpkg,21.314453125,21.49609375,17.7109375,2,10.0
exe,1278.0894886363637,1341.703125,87.22265625,2,11.0
pip,82.42945772058823,99.00390625,94.31640625,3,17.0
pip3,62.56924715909091,67.53125,62.890625,2,11.0
python3,3180.152170523836,3454.22265625,1329.1484375,85,451.0
systemd-journal,57.34765625,57.34765625,20.65625,2,5.0
