Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,503.0,148.1652508302143,173.53938164303753,98
discern-file-so,641.0,50.42933117782058,73.02209919097503,125
dockerd,617.0,10.533762396982794,31.91976465972069,119
discern-proc-so,630.0,6.280076023794996,11.751867995816081,122
discern-network,585.0,3.8559602251401937,6.268038280624882,112
pip,22.0,87.83451390509026,91.55174627027377,4
pip3,16.0,44.00635994753916,59.91962209924978,3
dpkg,31.0,21.94192692481542,33.562779535688236,6
dpkg-deb,21.0,28.27244905257924,49.755095630532274,4
exe,15.0,38.98466026280316,49.23266339296736,3
cc1,5.0,77.5075250971499,77.5075250971499,1
apt-get,26.0,11.865245392809474,27.785429972619358,5
apt,10.0,10.230731456035858,15.471070964904776,2
jbd2/vda2-8,49.0,2.0003381246072665,2.8619933931499713,11
mandb,11.0,7.3071155838402975,7.814600813682943,2
python,5.0,6.092371379251204,6.092371379251204,1
containerd,11.0,2.4094798648114875,3.034172252732021,2
systemd,14.0,1.415424092885883,2.2590159005297976,4
docker,5.0,2.6915083236523274,2.6915083236523274,1
