Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.58203125,155.25390625,67.34765625,3,16.0
apt-get,62.22866586538461,155.34375,67.4296875,5,26.0
cc1,153.8515625,153.8515625,137.4609375,1,5.0
containerd,1449.8817806603774,1449.890625,45.89453125,21,106.0
discern-cpu-sor,1204.984375,1204.984375,13.9453125,2,8.0
discern-file-so,1696.7102130023184,1720.375,444.71484375,125,647.0
discern-logs-so,1205.9296875,1205.9296875,15.09375,3,13.0
discern-network,2346.0539074500766,2362.15625,180.5,125,651.0
discern-proc-so,1206.4625459558824,1206.67578125,20.27734375,7,34.0
docker,1281.5382449127908,1381.69140625,54.62890625,114,602.0
dockerd,1493.3959787115696,1558.87109375,122.9765625,119,618.0
dpkg,21.40869140625,21.640625,17.9296875,3,16.0
exe,1277.7864583333333,1341.203125,87.8359375,3,15.0
pip,82.16276041666667,98.5859375,93.91796875,4,21.0
pip3,63.035400390625,67.53125,62.96484375,3,16.0
python3,3175.224292652027,3487.9765625,1297.46875,85,444.0
systemd-journal,55.40234375,55.40234375,20.98828125,2,5.0
