Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt-get,64.69921875,155.3671875,67.26953125,3,23.0
apt-listchanges,29.55859375,30.44921875,19.4921875,1,9.0
discern-ansible,1205.34375,1205.34375,11.0546875,2,11.0
discern-file-so,1542.9087952958776,1591.4296875,286.75,70,376.0
discern-logs-so,1205.4296875,1205.4296875,15.18359375,63,333.0
discern-network,1888.8584503823138,1897.26953125,108.0546875,70,376.0
discern-proc-so,1205.91578125,1205.92578125,16.515625,23,125.0
dpkg,21.31640625,21.31640625,17.703125,1,9.0
pip3,110.40460526315789,295.19140625,287.625,7,38.0
python3,569.3704855103806,614.76953125,244.71484375,54,289.0
sshd,14.37109375,14.40625,8.4453125,1,5.0
systemd-journal,59.09625222419929,65.19921875,24.28515625,54,281.0
systemd-resolve,23.53515625,23.59765625,11.75,1,5.0
