# Overall Packet Count: 3707
# Overall Total Bytes: 2315974
# Overall Average Packet Size (Bytes): 624.76
# Overall Capture Duration (Seconds): 91.000
# Overall Average Rate (Mbps): 0.204

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.4,3323,2226305,17,1.0476729411764707,12.334336
172.30.0.15,192.168.254.2,265,75186,7,0.08592685714285714,0.152048
172.30.0.1,172.30.0.15,86,9421,8,0.009421,0.023352
172.30.0.15,34.117.59.81,17,2882,2,0.011528,0.01492
104.26.13.205,172.30.0.15,16,2180,1,0.01744,0.01744
