Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt-get,64.69921875,155.3671875,68.96875,5,30.0
apt-listchanges,29.55859375,30.44921875,19.5078125,1,6.0
discern-file-so,1521.9785865617434,1527.36328125,307.4375,77,413.0
discern-logs-so,1205.4296875,1205.4296875,15.4140625,50,267.0
discern-network,1880.4993123471882,1889.265625,112.23046875,77,409.0
discern-proc-so,1205.92578125,1205.92578125,16.609375,36,190.0
dpkg,21.340553977272727,21.5234375,17.8359375,2,11.0
pip3,116.060302734375,295.19140625,287.44140625,6,32.0
python3,580.3622395833333,839.07421875,391.64453125,60,315.0
python3.9,24.625,25.98828125,19.10546875,1,5.0
systemd-journal,58.36666165865385,65.203125,25.703125,68,364.0
systemd-resolve,23.53515625,23.59765625,11.64453125,2,11.0
