Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,67.23046875,3,16.0
apt-get,62.492322198275865,155.3671875,67.4453125,5,29.0
cc1,222.79296875,222.79296875,206.546875,1,5.0
containerd,1378.132483057229,1378.13671875,46.21484375,64,332.0
discern-cpu-sor,1204.984375,1204.984375,14.00390625,1,6.0
discern-file-so,1645.2473635835913,1719.375,430.21484375,123,646.0
discern-logs-so,1205.9296875,1205.9296875,15.76171875,2,11.0
discern-network,2313.5438326322114,2361.90625,179.79296875,81,416.0
discern-proc-so,1206.37578125,1206.67578125,20.25390625,6,35.0
docker,1299.8154296875,1317.69140625,56.21875,113,596.0
dockerd,1552.6557712928923,1567.25,113.734375,118,612.0
dpkg,21.301339285714285,21.4375,17.69921875,2,14.0
exe,1261.4636008522727,1341.703125,89.453125,4,22.0
pip,87.70735677083333,99.42578125,94.88671875,3,12.0
pip3,62.265625,67.53125,62.87109375,2,10.0
python3,3176.8919775056947,3445.4296875,1298.65625,85,439.0
systemd-journal,73.3515625,73.3515625,19.80078125,2,5.0
