IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.1,1339,563013,19,0.2370581052631579,0.965408
10.10.10.2,10.10.10.2,2031,226488,18,0.10066133333333334,0.18832
192.168.254.2,192.168.254.2,602,177168,23,0.061623652173913045,0.148912
172.30.0.11,172.30.0.11,530,139847,23,0.0486424347826087,0.127328
172.30.0.1,172.30.0.1,36,3849,5,0.0061584,0.010336
fe80::6ce0:fdff:fe37:c339,fe80::6ce0:fdff:fe37:c339,2,142,1,0.001136,0.001136
fe80::e483:9bff:fe64:d165,fe80::e483:9bff:fe64:d165,2,142,1,0.001136,0.001136
