# Overall Packet Count: 3917
# Overall Total Bytes: 608714
# Overall Average Packet Size (Bytes): 155.40
# Overall Capture Duration (Seconds): 2980.000
# Overall Average Rate (Mbps): 0.002

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.1.2.2,10.1.2.3,2881,374618,313,0.009574900958466453,0.155616
172.30.0.12,192.168.254.2,374,166050,8,0.16605,0.679952
172.30.0.1,172.30.0.12,299,32274,54,0.004781333333333334,0.017896
172.30.0.12,8.8.8.8,65,17432,3,0.04648533333333333,0.113488
10.1.2.3,10.1.2.4,91,4004,80,0.0004004,0.000704
172.30.0.12,208.67.72.50,12,1092,4,0.002184,0.002912
172.30.0.1,172.30.0.13,14,812,8,0.000812,0.000928
172.30.0.1,172.30.0.11,12,696,7,0.0007954285714285714,0.000928
172.30.0.1,172.30.0.14,12,696,7,0.0007954285714285714,0.000928
fe80::4c8:9aff:fe5a:1328,ff02::2,8,568,4,0.001136,0.001136
fe80::942d:1fff:fe22:6cd8,ff02::2,8,568,5,0.0009088,0.001136
fe80::78e6:5cff:fe29:cbcb,ff02::2,8,568,4,0.001136,0.001136
fe80::f48c:a8ff:fef0:f4dc,ff02::2,8,568,5,0.0009088,0.001136
fe80::1270:fdff:fe57:e2c,ff02::2,6,426,3,0.001136,0.001136
fe80::50be:8fff:fe8f:85ab,ff02::2,6,426,3,0.001136,0.001136
fe80::c871:c0ff:fe80:b12,ff02::2,6,426,3,0.001136,0.001136
fe80::c4e:c5ff:fe30:b9b2,ff02::2,6,426,3,0.001136,0.001136
fe80::c003:2eff:febf:db75,ff02::2,6,426,3,0.001136,0.001136
fe80::a49e:4aff:fe9a:f22c,ff02::2,6,426,4,0.000852,0.001136
fe80::8cd9:bbff:fed1:2055,ff02::2,6,426,3,0.001136,0.001136
fe80::84df:23ff:fe0d:e95d,ff02::2,6,426,3,0.001136,0.001136
fe80::844c:74ff:fe2c:bb1b,ff02::2,6,426,3,0.001136,0.001136
fe80::1003:8aff:fe14:42f6,ff02::2,6,426,3,0.001136,0.001136
fe80::68d8:43ff:feab:3864,ff02::2,6,426,3,0.001136,0.001136
fe80::503c:e2ff:fe92:130f,ff02::2,6,426,3,0.001136,0.001136
fe80::5029:dcff:fee4:ad29,ff02::2,6,426,3,0.001136,0.001136
fe80::1270:fdff:fe57:dd8,ff02::2,6,426,3,0.001136,0.001136
fe80::48c4:8aff:fef6:9e74,ff02::2,6,426,3,0.001136,0.001136
fe80::3ccf:47ff:fef7:5248,ff02::2,6,426,3,0.001136,0.001136
fe80::304a:12ff:fe14:70d0,ff02::2,6,426,4,0.000852,0.001136
fe80::400c:2bff:fe66:79ce,ff02::2,6,426,3,0.001136,0.001136
172.30.0.1,172.30.0.15,6,348,5,0.0005568,0.000928
fe80::387a:fbff:fe7e:3534,ff02::2,4,282,3,0.000752,0.001136
fe80::2c4b:3dff:feea:b48d,ff02::2,2,142,1,0.001136,0.001136
fe80::5038:85ff:fe96:71d6,ff02::2,2,142,1,0.001136,0.001136
fe80::dc87:c1ff:fe65:2c50,ff02::2,2,142,1,0.001136,0.001136
10.1.2.2,10.1.2.4,1,44,1,0.000352,0.000352
