Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,73.88716647397534,85.12109375,78.27734375,537,2757.0
discern-file-so,1493.987405409193,1655.49609375,300.13671875,84,446.0
discern-interfa,1435.515625,1435.515625,22.66796875,312,1603.0
discern-logs-so,1269.2875593354431,1269.49609375,72.42578125,537,2765.0
discern-network,1841.5859375,1841.5859375,56.25390625,537,2765.0
discern-proc-so,1205.926267316105,1206.17578125,16.0546875,299,1543.0
ettercap,306.54822458422746,392.40234375,24.51171875,178,932.0
systemd-journal,127.22830864643545,163.13671875,33.46875,201,1038.0
