Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,341.000,73.432,94.011,64
discern-file-so,302.000,53.295,73.040,56
discern-proc-so,966.000,2.541,4.258,187
pip3,27.000,70.388,77.310,5
jbd2/vda2-8,960.000,1.597,2.742,186
systemd,984.000,0.483,1.413,190
apt-get,33.000,5.694,15.279,6
dpkg,16.000,10.745,14.473,3
systemd-journal,437.000,0.383,0.495,85
kswapd0,340.000,0.386,0.532,67
dpkg-deb,11.000,11.848,15.708,2
discern-network,343.000,0.350,0.499,66
apt,5.000,11.183,11.183,1
python3.9,5.000,6.962,6.962,1
mandb,11.000,2.837,2.955,2
discern-logs-so,82.000,0.306,0.310,17
sshd,11.000,0.420,0.433,2
kworker/u2,5.000,0.544,0.544,1
OverallSystemRecord,683.000,24.535,98.625,134
