Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,208.07421875,208.07421875,201.875,4042,20970.0
discern-ansible,1205.34375,1205.34375,11.5625,215,1133.0
discern-bash-so,1205.43359375,1205.43359375,10.3125,14,71.0
discern-cpu-sor,1205.359375,1205.359375,11.2734375,76,407.0
discern-file-so,1546.4979993159025,1591.6796875,379.75390625,3976,20739.0
discern-jupyter,1205.33203125,1205.33203125,11.0859375,49,252.0
discern-logs-so,1431.5936965332614,1653.64453125,403.734375,4019,20895.0
discern-network,1841.8359375,1863.1875,75.8671875,4042,21142.0
discern-os-sorc,1205.66015625,1205.66015625,10.84765625,11,60.0
discern-proc-so,1206.1328566020234,1206.17578125,16.78125,3003,15766.0
systemd-journal,109.12200810329753,151.4453125,23.0625,763,4003.0
