IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.14,172.30.0.14,362,118944,14,0.067968,0.22576
192.168.254.2,192.168.254.2,402,106256,14,0.060717714285714285,0.208944
10.1.2.2,10.1.2.2,19,2652,6,0.003536,0.004928
10.1.1.2,10.1.1.2,20,2016,6,0.002688,0.003752
172.30.0.1,172.30.0.1,7,780,2,0.00312,0.003632
::1,::1,6,378,4,0.000756,0.001008
127.0.0.1,127.0.0.1,6,258,3,0.000688,0.001032
fe80::d8b9:beff:feab:6176,fe80::d8b9:beff:feab:6176,2,142,1,0.001136,0.001136
