Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,63.81591796875,155.27734375,68.89453125,3,16.0
apt-get,62.23768028846154,155.3671875,67.2890625,5,26.0
cc1,128.48828125,128.48828125,112.08984375,1,5.0
containerd,1441.3722464139344,1449.640625,46.1953125,36,183.0
discern-ansible,1204.46875,1204.46875,12.3984375,2,7.0
discern-file-so,1652.6516403737942,1656.05859375,440.44140625,122,622.0
discern-logs-so,1205.9296875,1205.9296875,15.0,4,18.0
discern-network,2276.4646018996245,2290.15234375,175.921875,105,533.0
discern-proc-so,1206.3890165441176,1206.42578125,22.43359375,7,34.0
docker,1301.44562633547,1318.19140625,54.8671875,112,585.0
dockerd,1560.6051238858233,1630.875,117.20703125,117,589.0
dpkg,21.369140625,21.48046875,17.74609375,2,10.0
exe,1277.703125,1277.703125,89.67578125,2,11.0
pip,83.679931640625,100.015625,95.6875,4,16.0
pip3,59.833984375,67.53125,62.87109375,3,16.0
python3,3192.1027679089325,3457.4609375,1294.21484375,85,431.0
systemd-journal,57.37890625,57.37890625,18.4140625,2,6.0
