Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,208.07421875,208.07421875,201.88671875,4260,22642.0
discern-ansible,1205.34375,1205.34375,12.859375,135,704.0
discern-bash-so,1205.43359375,1205.43359375,10.3125,37,221.0
discern-cpu-sor,1205.359375,1205.359375,11.28515625,133,1038.0
discern-file-so,1623.3086419323597,1719.8125,415.98828125,4205,22457.0
discern-jupyter,1205.33203125,1205.33203125,11.0859375,31,178.0
discern-logs-so,1536.7895666587215,1845.84375,424.203125,3826,19928.0
discern-network,1841.8359375,1863.1875,75.8671875,4260,22752.0
discern-os-sorc,1205.66015625,1205.66015625,10.84765625,81,430.0
discern-proc-so,1205.9658372143485,1206.17578125,16.8125,3592,19298.0
systemd-journal,107.60683213110605,151.4453125,23.0625,739,3951.0
