Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,280.0,59.934961310305766,81.99287978972512,53
discern-file-so,366.0,32.853243580072956,56.07040763739822,72
pip3,38.0,66.10070903760158,75.27488822124064,7
discern-proc-so,364.0,2.711429578741242,3.0432580422147293,70
jbd2/vda2-8,356.0,2.0051274956203198,2.7131399062104222,69
dpkg,17.0,12.317905110488974,14.01915087451051,3
dpkg-deb,12.0,15.587057182181958,22.994410230053685,2
apt-get,27.0,5.195777237122446,12.510085918999874,5
kswapd0,215.0,0.6296828174753674,0.6572502371874523,41
apt,6.0,14.010732646558738,14.010732646558738,1
systemd,109.0,0.7397675675931279,1.0552616310656986,22
py3compile,6.0,7.031870083488717,7.031870083488718,1
discern-network,37.0,0.7957407452073251,0.9420262016691017,7
apt-listchanges,5.0,5.5081237416763305,5.5081237416763305,1
python3.9,6.0,4.216398773975803,4.216398773975803,1
mandb,5.0,2.564925702570149,2.564925702570149,1
sshd,6.0,1.147598090251033,1.147598090251033,1
kworker/0,5.0,0.2465563465437876,0.2465563465437876,1
