Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.58203125,155.25390625,67.27734375,3,16.0
apt-get,62.55494791666667,155.34375,69.109375,5,30.0
cc1,138.56640625,138.56640625,121.73828125,1,5.0
containerd,1377.872829861111,1377.88671875,48.140625,18,90.0
discern-ansible,1204.71875,1204.71875,12.4609375,1,5.0
discern-file-so,1656.978912401575,1720.5625,421.70703125,121,635.0
discern-logs-so,1205.9296875,1205.9296875,15.12890625,2,13.0
discern-network,2278.6833067092653,2289.96484375,176.24609375,120,626.0
discern-proc-so,1206.45578125,1206.67578125,18.3203125,4,25.0
docker,1300.98781434133,1318.44140625,54.7890625,113,594.0
dockerd,1555.3905673668032,1630.625,122.85546875,117,610.0
dpkg,21.37109375,21.50390625,17.76953125,2,12.0
exe,1277.859375,1341.453125,87.09375,3,16.0
pip,80.58537946428571,98.296875,93.96875,4,21.0
pip3,60.93505859375,67.53125,62.8671875,3,16.0
python3,3164.8808377217297,3448.875,1286.76171875,86,451.0
systemd-journal,55.38671875,55.38671875,20.75390625,2,6.0
