Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,29.48671875,29.9765625,23.8359375,17,85.0
discern-file-so,1557.6085477941176,1591.1796875,286.08984375,17,85.0
discern-logs-so,1205.4296875,1205.4296875,17.77734375,10,48.0
discern-network,1898.2109375,1898.2109375,97.453125,17,85.0
discern-proc-so,1205.92578125,1205.92578125,16.23828125,4,21.0
python3,659.9189814814815,992.5703125,55.1953125,5,27.0
systemd-journal,65.33984375,65.33984375,18.1796875,15,74.0
