Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,68.000,79.570,85.836,15
discern-proc-so,281.000,2.464,2.781,56
discern-network,286.000,0.402,0.421,57
systemd,306.000,0.307,1.985,60
discern-logs-so,291.000,0.289,0.293,57
kswapd0,125.000,0.243,0.249,25
jbd2/vda2-8,74.000,0.255,0.258,15
OverallSystemRecord,226.000,3.653,4.902,44
