Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,67.26171875,1,6.0
apt-get,64.69921875,155.3671875,68.47265625,4,21.0
discern-ansible,1205.34375,1205.34375,11.0,6,31.0
discern-file-so,1465.7171391752577,1590.7421875,307.0625,74,388.0
discern-jupyter,1205.33203125,1205.33203125,10.97265625,1,6.0
discern-logs-so,1205.4296875,1205.4296875,16.19921875,67,353.0
discern-network,1879.5684204101562,1889.578125,97.12109375,74,384.0
discern-proc-so,1205.9205291491596,1205.92578125,16.3125,45,238.0
dpkg,21.274586397058822,21.44921875,17.7734375,3,17.0
pip3,122.95880681818181,295.19140625,287.640625,7,33.0
py3compile,17.97265625,17.97265625,11.8125,1,5.0
python3,575.028766645189,616.671875,246.7734375,55,291.0
sshd,14.37109375,14.40625,8.49609375,2,11.0
systemd-journal,57.619801456766915,63.39453125,22.2578125,26,133.0
systemd-resolve,23.53515625,23.59765625,11.6796875,4,23.0
