Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,67.50390625,1,6.0
apt-get,64.69921875,155.3671875,67.265625,5,27.0
apt-listchanges,29.55859375,30.44921875,19.390625,1,6.0
discern-ansible,1205.34375,1205.34375,10.0625,1,5.0
discern-file-so,1585.24326171875,1591.4296875,308.21484375,99,520.0
discern-jupyter,1205.33203125,1205.33203125,9.484375,1,5.0
discern-logs-so,1205.4296875,1205.4296875,15.9140625,66,345.0
discern-network,1891.3224158653845,1897.26953125,116.78515625,99,520.0
discern-proc-so,1205.92578125,1205.92578125,16.39453125,50,262.0
dpkg,21.383042279411764,21.5234375,17.8125,3,17.0
git-remote-http,96.5234375,155.1171875,12.8671875,1,5.0
pip3,106.71457122093024,295.19140625,287.69140625,8,43.0
python3,580.6094577205882,839.0234375,438.87109375,81,425.0
python3.9,24.375,25.98828125,19.21875,1,5.0
systemd-journal,62.59470486111111,73.26171875,24.0390625,78,405.0
