Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,34.19514266304348,34.70703125,27.3671875,15,69.0
discern-file-so,1452.6876201923078,1462.609375,276.34765625,15,65.0
discern-logs-so,1205.4296875,1205.4296875,18.17578125,7,31.0
discern-network,1841.96484375,1863.81640625,33.69921875,15,69.0
discern-proc-so,1205.92578125,1205.92578125,15.8828125,6,28.0
named,340.51953125,402.0078125,19.70703125,2,10.0
systemd-journal,77.2890625,77.2890625,27.0234375,15,69.0
