Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,32.93153033088235,40.5078125,33.078125,335,1700.0
discern-cpu-sor,1205.359375,1205.359375,10.87109375,1,5.0
discern-file-so,1646.5251649100826,1655.74609375,356.57421875,335,1696.0
discern-logs-so,1205.4296875,1205.4296875,22.08203125,335,1708.0
discern-network,1906.21484375,1906.21484375,126.1015625,335,1700.0
discern-proc-so,1205.92578125,1205.92578125,16.1875,255,1309.0
systemd-journal,80.36336699695121,95.375,22.28515625,79,410.0
