Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,67.32421875,1,5.0
apt-get,64.69921875,155.3671875,67.0234375,5,27.0
apt-listchanges,29.55859375,30.44921875,19.52734375,1,5.0
discern-file-so,1519.8122323128173,1527.36328125,315.26953125,75,394.0
discern-logs-so,1205.4296875,1205.4296875,15.09375,61,319.0
discern-network,1889.5542611833757,1897.58203125,105.0,75,394.0
discern-proc-so,1205.9197571536145,1205.92578125,16.4296875,47,249.0
dpkg,21.363525390625,21.5078125,17.85546875,3,16.0
pip3,105.92166940789474,295.19140625,287.42578125,7,38.0
python3,566.754389759772,615.16015625,237.01171875,58,307.0
python3.9,24.375,25.98828125,19.20703125,1,6.0
systemd-journal,61.706826636904765,65.25,24.23046875,41,210.0
