Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,150.73267050229717,167.8125,158.94921875,880,4462.0
discern-file-so,1476.5305687615955,1591.1796875,291.53515625,102,539.0
discern-interfa,1508.39453125,1508.39453125,22.62890625,538,2786.0
discern-logs-so,1269.49609375,1269.49609375,111.60546875,880,4503.0
discern-network,1825.57421875,1863.1875,47.20703125,880,4533.0
discern-proc-so,1206.17578125,1206.17578125,16.9765625,20,104.0
python3,178.71484375,242.71484375,27.09375,736,3840.0
systemd-journal,118.12643827588484,153.32421875,31.64453125,364,1893.0
