IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.12,172.30.0.12,121,38126,6,0.05083466666666667,0.137504
192.168.254.2,192.168.254.2,114,30726,5,0.0491616,0.082592
172.30.0.1,172.30.0.1,17,1998,3,0.005328,0.006688
173.71.68.71,173.71.68.71,2,182,1,0.001456,0.001456
fe80::3c38:72ff:fe4e:6d8d,fe80::3c38:72ff:fe4e:6d8d,2,142,1,0.001136,0.001136
fe80::607d:62ff:fee8:cf70,fe80::607d:62ff:fee8:cf70,2,142,1,0.001136,0.001136
fe80::90af:bff:febd:f3cf,fe80::90af:bff:febd:f3cf,2,142,1,0.001136,0.001136
fe80::a87d:20ff:fe11:5c31,fe80::a87d:20ff:fe11:5c31,2,142,1,0.001136,0.001136
fe80::aca2:9aff:fe03:9327,fe80::aca2:9aff:fe03:9327,2,142,1,0.001136,0.001136
fe80::b848:aaff:febd:aae3,fe80::b848:aaff:febd:aae3,2,142,1,0.001136,0.001136
fe80::c075:5eff:febe:c44c,fe80::c075:5eff:febe:c44c,2,142,1,0.001136,0.001136
fe80::ec49:1eff:feb8:e42f,fe80::ec49:1eff:feb8:e42f,2,142,1,0.001136,0.001136
