Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,67.23046875,2,14.0
apt-get,60.39658717105263,155.3671875,70.8046875,10,57.0
cc1,186.078125,255.27734375,239.4921875,2,11.0
containerd,1450.124439102564,1513.796875,45.26953125,75,390.0
discern-ansible,1204.71875,1204.71875,12.27734375,3,12.0
discern-file-so,1716.0065390969164,1720.625,418.90625,131,681.0
discern-logs-so,1205.9296875,1205.9296875,14.51171875,3,12.0
discern-network,2319.686161001933,2361.90625,173.703125,74,388.0
discern-proc-so,1206.2288115530303,1206.42578125,19.828125,7,33.0
docker,1273.4444992113565,1318.19140625,55.73828125,121,634.0
dockerd,1554.202598110465,1631.125,119.28125,125,645.0
dpkg,21.396484375,21.546875,17.8203125,2,10.0
exe,1277.803125,1341.453125,87.9296875,5,25.0
pip,77.32235863095238,98.21875,93.51171875,4,21.0
pip3,57.279052734375,67.53125,62.96484375,3,16.0
python3,3187.1344423805363,3448.79296875,1302.3828125,84,429.0
python3.9,25.125,25.98828125,19.26953125,1,6.0
systemd-journal,55.38671875,55.38671875,21.4765625,2,5.0
