IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.4,10.10.10.4,1311,751112,24,0.2503706666666667,4.88776
10.10.10.1,10.10.10.1,1680,469477,24,0.15649233333333334,1.393408
172.30.0.15,172.30.0.15,207,55241,10,0.0441928,0.147136
192.168.254.2,192.168.254.2,175,42020,7,0.048022857142857145,0.08536
172.30.0.1,172.30.0.1,36,4357,7,0.004979428571428571,0.01384
34.117.59.81,34.117.59.81,8,2032,1,0.016256,0.016256
104.26.12.205,104.26.12.205,10,1534,1,0.012272,0.012272
