Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,210.000,94.854,96.132,41
discern-file-so,158.000,76.042,86.288,34
discern-proc-so,1153.000,2.402,2.898,233
pip3,26.000,68.122,75.714,5
jbd2/vda2-8,1174.000,1.255,2.524,234
systemd,1174.000,0.458,1.902,233
kworker/u2,319.000,0.876,4.047,62
kswapd0,672.000,0.339,0.577,132
dpkg-deb,5.000,45.510,45.510,1
dpkg,16.000,11.093,12.586,3
python3.9,5.000,25.486,25.486,1
apt-get,26.000,4.734,11.308,5
discern-network,475.000,0.255,0.338,94
discern-logs-so,440.000,0.267,0.290,87
apt,5.000,13.037,13.037,1
apt-listchanges,5.000,7.142,7.142,1
sshd,10.000,0.494,0.621,2
mandb,1.000,2.673,2.673,1
OverallSystemRecord,1052.000,25.561,100.008,211
