Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.66015625,155.328125,67.0546875,1,5.0
apt-get,64.703125,155.375,67.359375,5,27.0
apt-listchanges,29.55859375,30.44921875,19.515625,1,5.0
dbus-daemon,20.057802734375,22.11328125,16.078125,78,400.0
discern-file-so,1448.1457053829479,1526.67578125,279.19921875,34,173.0
discern-interfa,1435.265625,1435.265625,22.609375,200,1025.0
discern-logs-so,1205.4296875,1205.4296875,27.60546875,225,1152.0
discern-network,1851.5020259533899,1881.3203125,97.19921875,234,1180.0
discern-proc-so,1206.1174033533869,1206.17578125,19.65234375,219,1122.0
dpkg,21.331787109375,21.48828125,17.71875,3,16.0
pip3,101.75390625,294.9609375,287.25,5,26.0
python3,587.8140443313954,856.80859375,476.47265625,41,215.0
python3.9,24.625,25.98828125,19.21484375,1,6.0
systemd-journal,70.14364289314516,99.3515625,28.25390625,123,620.0
