Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,67.3125,3,16.0
apt-get,62.56588541666667,155.3671875,69.1640625,5,30.0
cc1,151.84375,151.84375,135.4609375,1,9.0
containerd,1377.877843010355,1377.88671875,45.1015625,33,169.0
discern-cpu-sor,1204.984375,1204.984375,14.05859375,1,5.0
discern-file-so,1634.7131363011006,1656.55859375,459.78125,122,636.0
discern-logs-so,1205.6796875,1205.6796875,15.453125,1,5.0
discern-network,2345.6464774243773,2362.15625,184.74609375,107,562.0
discern-proc-so,1206.2900669642856,1206.42578125,18.25,6,35.0
docker,1284.4477356991526,1318.19140625,54.56640625,113,590.0
dockerd,1556.5155154187294,1631.125,115.24609375,117,606.0
dpkg,21.34375,21.43359375,17.80859375,2,10.0
exe,1277.7918346774193,1413.70703125,89.4609375,6,31.0
pip,75.711669921875,98.05859375,93.33203125,3,16.0
pip3,63.431919642857146,67.53125,62.82421875,2,14.0
python3,3161.2062376551917,3425.49609375,1274.9453125,85,443.0
python3.9,24.375,25.98828125,19.1640625,1,9.0
systemd-journal,57.375,57.375,21.27734375,2,5.0
