Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,24.681966145833332,25.22265625,19.484375,15,72.0
discern-file-so,1527.36328125,1527.36328125,299.8359375,15,72.0
discern-logs-so,1205.4296875,1205.4296875,19.12109375,5,18.0
discern-network,1897.8984375,1897.8984375,96.76171875,15,72.0
discern-proc-so,1205.92578125,1205.92578125,16.015625,3,15.0
python3,176.859375,232.50390625,17.49609375,1,5.0
server.py,171.75390625,235.75390625,20.14453125,7,39.0
systemd-journal,65.28125,65.28125,22.96484375,14,67.0
