Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,482.000,149.515,178.328,93
discern-file-so,1079.000,65.051,138.126,209
discern-proc-so,1073.000,6.073,13.066,207
dockerd,705.000,4.650,11.156,136
exe,45.000,59.707,79.584,8
pip,21.000,87.204,90.920,4
discern-network,903.000,1.628,2.650,174
jbd2/vda2-8,567.000,1.919,2.864,110
pip3,11.000,48.344,62.158,2
apt-get,37.000,13.068,37.243,7
cc1,6.000,79.168,79.168,1
dpkg,25.000,15.382,27.732,5
systemd,355.000,1.058,4.631,68
python3.9,6.000,41.399,41.399,1
dpkg-deb,5.000,41.471,41.471,1
mandb,12.000,8.922,9.421,2
apt,16.000,4.169,6.899,3
containerd,10.000,3.357,5.356,2
python,6.000,4.834,4.834,1
docker,10.000,2.538,3.087,2
sh,5.000,3.591,3.591,1
OverallSystemRecord,11.000,18.022,178.328,3
