Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,69.01953125,3,16.0
apt-get,62.697265625,155.3671875,69.15625,6,30.0
cc1,164.41796875,164.41796875,148.50390625,1,6.0
containerd,1439.5242669092465,1513.890625,46.76953125,29,146.0
discern-bash-so,1204.80859375,1204.80859375,12.3046875,2,8.0
discern-file-so,1638.1818827999195,1656.55859375,428.8046875,122,621.0
discern-logs-so,1205.6796875,1205.6796875,71.40625,66,336.0
discern-network,2260.6472389914775,2290.21484375,175.88671875,52,264.0
discern-proc-so,1206.42578125,1206.42578125,19.95703125,5,24.0
docker,1302.789501169786,1318.19140625,56.578125,109,561.0
dockerd,1561.3759058902137,1567.5625,122.51953125,119,608.0
dpkg,21.39559659090909,21.5625,17.71875,2,11.0
exe,1301.62109375,1349.70703125,88.0546875,3,18.0
pip,82.85751488095238,98.94140625,94.58203125,4,21.0
pip3,63.45703125,81.0625,76.3515625,3,16.0
python3,3178.7055086281903,3488.4921875,1276.90234375,85,431.0
python3.9,24.625,25.98828125,19.26171875,1,5.0
systemd-journal,130.38853433098592,153.42578125,72.41796875,13,71.0
