Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,67.29296875,1,5.0
apt-get,81.49276620370371,155.3671875,69.19921875,5,27.0
discern-file-so,1568.7736904954663,1655.49609375,374.484375,75,386.0
discern-jupyter,1205.33203125,1205.33203125,11.03515625,2,10.0
discern-logs-so,1205.4296875,1205.4296875,16.5234375,53,272.0
discern-network,1872.7731688161375,1881.3203125,99.375,75,378.0
discern-proc-so,1205.9202461946495,1205.92578125,16.35546875,53,271.0
dpkg,21.262939453125,21.4609375,17.68359375,3,16.0
pip3,117.1396484375,295.19140625,286.90625,7,28.0
python3,566.4802673969073,616.671875,240.93359375,56,291.0
systemd-journal,57.664333767361114,65.2578125,24.43359375,43,216.0
systemd-resolve,23.53515625,23.59765625,11.61328125,2,10.0
