Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt-get,57.00390625,57.00390625,49.37109375,1,6.0
dbus-daemon,19.0390625,19.296875,13.5078125,11,52.0
discern-file-so,1494.6822449551569,1527.23828125,288.0625,43,223.0
discern-interfa,1507.26953125,1571.26953125,22.6171875,81,415.0
discern-logs-so,1205.4296875,1205.4296875,31.38671875,169,869.0
discern-network,1898.2109375,1898.2109375,97.46484375,169,869.0
discern-proc-so,1205.92578125,1205.92578125,18.10546875,3,15.0
python3,101.72426809210526,232.35546875,15.98828125,91,475.0
server.py,174.2890625,238.2890625,22.60546875,137,713.0
systemd-journal,129.4509982638889,137.2734375,24.296875,140,720.0
