Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,62.78813244047619,155.27734375,67.50390625,4,21.0
apt-get,62.38927283653846,155.3671875,67.375,5,26.0
cc1,149.8125,149.8125,132.22265625,1,6.0
containerd,1432.6502604166667,1450.140625,46.51953125,72,375.0
discern-ansible,1204.46875,1204.46875,12.21484375,2,8.0
discern-file-so,1638.8878374413146,1719.125,418.16015625,123,639.0
discern-logs-so,1205.9296875,1205.9296875,53.4609375,10,45.0
discern-network,2334.0684502180234,2361.96875,171.6328125,68,344.0
discern-proc-so,1206.5705180921052,1206.67578125,18.33984375,4,19.0
docker,1318.1281684759697,1381.87890625,59.28515625,113,593.0
dockerd,1557.0186200040782,1631.1875,118.5078125,118,613.0
dpkg,21.267578125,21.43359375,17.87109375,2,10.0
exe,1304.95458984375,1349.95703125,84.28125,3,16.0
pip,83.36979166666667,98.734375,94.109375,4,21.0
pip3,63.311767578125,67.53125,62.875,3,16.0
python3,3182.409903651848,3488.57421875,1312.2890625,85,433.0
