IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.1,2674,643670,418,0.012319043062200956,0.971952
10.10.10.2,10.10.10.2,2656,380023,664,0.0045785903614457835,0.03712
172.30.0.12,172.30.0.12,209,200503,15,0.10693493333333333,1.331136
192.168.254.2,192.168.254.2,169,40220,9,0.03575111111111111,0.085728
172.30.0.1,172.30.0.1,40,4768,8,0.004768,0.00816
34.117.59.81,34.117.59.81,8,2032,2,0.008128,0.008632
104.26.13.205,104.26.13.205,9,1466,2,0.005864,0.006096
144.202.66.214,144.202.66.214,6,546,3,0.001456,0.001456
fe80::fc63:3bff:fe7e:56f7,fe80::fc63:3bff:fe7e:56f7,6,426,3,0.001136,0.001136
fe80::cc72:49ff:fea9:6799,fe80::cc72:49ff:fea9:6799,6,426,3,0.001136,0.001136
fe80::c8cc:31ff:fe8b:5242,fe80::c8cc:31ff:fe8b:5242,6,426,3,0.001136,0.001136
fe80::c4db:9ff:fe29:4348,fe80::c4db:9ff:fe29:4348,6,426,3,0.001136,0.001136
fe80::c0d3:15ff:fe84:1784,fe80::c0d3:15ff:fe84:1784,6,426,3,0.001136,0.001136
fe80::bc60:81ff:fe52:6d36,fe80::bc60:81ff:fe52:6d36,6,426,3,0.001136,0.001136
fe80::b0a8:e0ff:fe6f:ce33,fe80::b0a8:e0ff:fe6f:ce33,6,426,3,0.001136,0.001136
fe80::5897:e8ff:fe8e:6ea9,fe80::5897:e8ff:fe8e:6ea9,6,426,3,0.001136,0.001136
fe80::5808:f4ff:fe87:15d0,fe80::5808:f4ff:fe87:15d0,6,426,3,0.001136,0.001136
fe80::4021:2eff:fe53:3a42,fe80::4021:2eff:fe53:3a42,6,426,3,0.001136,0.001136
fe80::fcea:b4ff:fe31:9aa3,fe80::fcea:b4ff:fe31:9aa3,6,426,3,0.001136,0.001136
fe80::1270:fdff:fe57:e2c,fe80::1270:fdff:fe57:e2c,5,354,3,0.000944,0.001136
fe80::ac21:5aff:fe85:b9ae,fe80::ac21:5aff:fe85:b9ae,4,284,2,0.001136,0.001136
fe80::ace4:3aff:fec6:8426,fe80::ace4:3aff:fec6:8426,4,284,2,0.001136,0.001136
fe80::7036:efff:fec5:6a0b,fe80::7036:efff:fec5:6a0b,4,284,2,0.001136,0.001136
fe80::2ced:b1ff:fe55:7037,fe80::2ced:b1ff:fe55:7037,4,284,2,0.001136,0.001136
fe80::6c56:18ff:fec1:ee3f,fe80::6c56:18ff:fec1:ee3f,4,284,2,0.001136,0.001136
fe80::10c8:6ff:fee8:b565,fe80::10c8:6ff:fee8:b565,4,284,2,0.001136,0.001136
fe80::cea:bbff:fe2f:ad4a,fe80::cea:bbff:fe2f:ad4a,4,284,2,0.001136,0.001136
fe80::e01b:95ff:fe44:24eb,fe80::e01b:95ff:fe44:24eb,4,284,2,0.001136,0.001136
fe80::e8b3:f4ff:fec7:7f57,fe80::e8b3:f4ff:fec7:7f57,4,284,2,0.001136,0.001136
fe80::f08c:e9ff:fe83:812f,fe80::f08c:e9ff:fe83:812f,4,284,2,0.001136,0.001136
fe80::205c:c9ff:fe19:90d9,fe80::205c:c9ff:fe19:90d9,4,284,2,0.001136,0.001136
10.10.10.4,10.10.10.4,2,152,1,0.001216,0.001216
fe80::5038:85ff:fe96:71d6,fe80::5038:85ff:fe96:71d6,2,142,1,0.001136,0.001136
