Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,1124.000,69.187,137.026,218
python3,503.000,138.931,177.257,98
discern-proc-so,1126.000,6.020,12.602,217
exe,66.000,58.926,97.527,12
dockerd,730.000,4.871,7.128,141
discern-network,943.000,2.190,3.549,181
pip,27.000,76.052,90.869,6
jbd2/vda2-8,390.000,1.797,2.342,74
dpkg,26.000,22.314,42.259,5
dpkg-deb,15.000,37.048,44.760,3
pip3,10.000,45.616,59.075,2
cc1,5.000,79.630,79.630,1
discern-logs-so,175.000,2.114,2.236,34
kworker/u8,83.000,4.279,15.586,15
systemd,324.000,1.027,2.063,61
apt-get,36.000,8.621,18.300,7
store,6.000,29.805,29.805,1
python,10.000,12.898,18.500,2
apt,15.000,5.447,9.461,3
mandb,10.000,7.178,7.353,2
kworker/0,11.000,3.772,5.423,2
frontend,5.000,4.036,4.036,1
git-remote-http,6.000,3.095,3.095,1
http,6.000,2.569,2.569,1
docker,5.000,0.861,0.861,1
OverallSystemRecord,20.000,23.372,75.140,4
