Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,69.0,3,16.0
apt-get,62.601934523809526,155.3671875,67.3671875,4,21.0
cc1,119.3359375,119.3359375,100.11328125,1,5.0
containerd,1377.8795072115386,1441.19921875,43.24609375,40,208.0
discern-ansible,1204.71875,1204.71875,12.21875,2,12.0
discern-file-so,1628.5951035334347,1656.24609375,470.06640625,126,658.0
discern-logs-so,1222.1308128720239,1270.24609375,75.1328125,17,84.0
discern-network,2404.1129699950197,2434.16015625,174.42578125,96,502.0
discern-proc-so,1206.1985085227273,1206.42578125,20.35546875,6,33.0
docker,1298.644606976979,1381.37890625,56.25,117,619.0
dockerd,1557.82988125,1631.1875,119.35546875,120,625.0
dpkg,21.525390625,21.52734375,17.80859375,2,10.0
exe,1349.9002130681818,1485.2109375,91.8515625,4,22.0
pip,79.54482886904762,98.796875,94.19140625,4,21.0
pip3,58.5986328125,67.53125,62.8671875,3,16.0
python3,3154.4298315092165,3453.26953125,1289.88671875,85,434.0
