Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,36.996484375,37.421875,30.08203125,10,70.0
discern-file-so,1453.2534598214286,1590.7421875,274.07421875,10,70.0
discern-network,1833.33203125,1863.44140625,35.19921875,10,70.0
discern-proc-so,1205.92578125,1205.92578125,16.203125,6,52.0
named,406.5234375,406.5234375,19.7734375,9,65.0
systemd-journal,55.40625,55.40625,16.44140625,5,23.0
