Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,39.514012096774195,42.53125,35.46875,149,775.0
discern-file-so,1485.2779657643312,1590.2421875,287.265625,30,157.0
discern-interfa,1507.51953125,1571.26953125,22.6171875,31,156.0
discern-logs-so,1269.49609375,1269.49609375,73.59765625,149,775.0
discern-network,1825.88671875,1863.1875,75.00390625,149,771.0
discern-proc-so,1205.97578125,1206.17578125,17.2265625,4,20.0
python3,24.24609375,24.265625,16.05078125,1,5.0
server.py,171.75390625,235.75390625,21.76953125,115,605.0
systemd-journal,105.96178052924218,169.125,27.00390625,117,607.0
