Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,29.480908890845072,29.84765625,24.15625,15,71.0
discern-file-so,1443.5536421654929,1526.86328125,291.7578125,15,71.0
discern-network,1833.89453125,1833.89453125,70.34375,15,71.0
discern-proc-so,1205.92578125,1205.92578125,16.4921875,11,54.0
python3,675.0611213235294,1040.63671875,46.578125,4,17.0
systemd-journal,57.26171875,57.26171875,17.8359375,15,75.0
