Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,207.69140625,207.69140625,201.5703125,4041,21033.0
discern-ansible,1205.34375,1205.34375,11.56640625,152,792.0
discern-bash-so,1205.43359375,1205.43359375,10.4296875,8,40.0
discern-cpu-sor,1205.359375,1205.359375,11.8671875,51,268.0
discern-file-so,1545.517716378543,1591.6796875,372.20703125,3973,20781.0
discern-jupyter,1205.33203125,1205.33203125,11.16796875,31,163.0
discern-logs-so,1403.7246398809523,1653.64453125,389.25,4026,21000.0
discern-network,1834.14453125,1834.14453125,72.7734375,4041,21161.0
discern-os-sorc,1205.66015625,1205.66015625,10.26953125,12,65.0
discern-proc-so,1206.076591848797,1206.17578125,15.7890625,2183,11473.0
systemd-journal,120.69443298787365,153.37109375,23.72265625,1687,8865.0
