Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
discern-file-so,1427.1788054435483,1526.98828125,246.94921875,14,62.0
discern-jupyter,,1205.33203125,10.20703125,1,0.0
discern-logs-so,1205.4296875,1205.4296875,13.74609375,9,40.0
discern-network,1833.973160282258,1863.1875,75.9765625,14,62.0
discern-proc-so,1205.92578125,1205.92578125,15.8828125,9,40.0
python3,95.85306490384616,232.60546875,17.0703125,10,52.0
server.py,174.2890625,238.2890625,22.9375,5,26.0
systemd,161.21484375,224.0546875,10.1796875,1,6.0
systemd-journal,47.38671875,47.38671875,12.83984375,6,31.0
systemd-resolve,23.53515625,23.59765625,11.65625,1,3.0
