IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
151.101.0.223,151.101.0.223,4059,173244221,14,98.99669771428572,147.282464
151.101.66.132,151.101.66.132,600,24643293,3,65.715448,126.034904
151.101.2.132,151.101.2.132,1962,9408950,5,15.05432,22.096472
140.82.116.4,140.82.116.4,218,5420291,2,21.681164,43.361128
151.101.128.223,151.101.128.223,261,3743031,10,2.9944248,7.854928
172.30.0.12,172.30.0.12,5859,672742,66,0.08154448484848485,0.294696
192.168.254.2,192.168.254.2,1411,184660,54,0.027357037037037037,0.19744
172.30.0.1,172.30.0.1,66,10421,11,0.007578909090909091,0.0184
155.248.196.28,155.248.196.28,4,364,2,0.001456,0.001456
fe80::a03d:61ff:fecd:8ec1,fe80::a03d:61ff:fecd:8ec1,4,284,2,0.001136,0.001136
fe80::e89b:66ff:febf:551b,fe80::e89b:66ff:febf:551b,4,284,2,0.001136,0.001136
fe80::a457:daff:fe14:2fd,fe80::a457:daff:fe14:2fd,4,284,2,0.001136,0.001136
fe80::f5:e9ff:fe07:e198,fe80::f5:e9ff:fe07:e198,4,284,3,0.0007573333333333334,0.001136
fe80::8a6:e3ff:feec:5e97,fe80::8a6:e3ff:feec:5e97,4,284,2,0.001136,0.001136
fe80::805b:cbff:fe7e:737d,fe80::805b:cbff:fe7e:737d,4,284,2,0.001136,0.001136
fe80::f43b:49ff:fe51:653f,fe80::f43b:49ff:fe51:653f,3,212,2,0.000848,0.001136
fe80::f4a7:fff:feb0:7ff5,fe80::f4a7:fff:feb0:7ff5,2,142,1,0.001136,0.001136
fe80::74bb:d4ff:fe0e:738d,fe80::74bb:d4ff:fe0e:738d,2,142,1,0.001136,0.001136
