Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,164.0,35.812495223235295,67.45275616185505,32
discern-proc-so,164.0,2.6122991163357048,2.920031942159335,32
kswapd0,168.0,0.7789335447018113,0.7815712629747023,32
discern-network,162.0,0.6529679011812131,0.6565224884962482,31
sshd,77.0,0.37129202531553096,1.4064474802796145,13
systemd,21.0,0.5316678976309056,1.0398896440270151,4
kworker/0,38.0,0.238097581095988,0.24865469826546893,7
jbd2/vda2-8,27.0,0.226493653926203,0.226734894558084,5
systemd-journal,15.0,0.22609598982287119,0.22617639744954246,4
