Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,103.0899913771865,187.83203125,178.23828125,3877,20295.0
discern-ansible,1205.34375,1205.34375,10.83203125,1,5.0
discern-file-so,1590.5386384406206,1591.6796875,384.45703125,4011,21030.0
discern-logs-so,1232.8871516486734,1269.49609375,105.0,4011,21142.0
discern-network,1833.578125,1863.1875,65.33984375,4011,21034.0
discern-proc-so,1205.92578125,1205.92578125,15.7578125,17,85.0
python3,93.21850908590308,160.25,16.21484375,129,681.0
server.py,174.2890625,238.2890625,22.85546875,3842,20306.0
systemd-journal,130.71563946759258,163.3671875,27.13671875,155,810.0
systemd-resolve,23.53515625,23.59765625,11.66015625,1,6.0
