IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.1,1158,379261,22,0.1379130909090909,0.947104
192.168.254.2,192.168.254.2,418,104784,25,0.03353088,0.142368
172.30.0.11,172.30.0.11,399,101509,24,0.033836333333333336,0.121856
10.10.10.3,10.10.10.3,1026,97975,22,0.03562727272727273,0.096336
10.10.10.4,10.10.10.4,795,75017,18,0.03334088888888889,0.084488
172.30.0.1,172.30.0.1,48,5061,8,0.005061,0.012496
99.28.14.242,99.28.14.242,2,182,1,0.001456,0.001456
fe80::1270:fdff:fe57:e2c,fe80::1270:fdff:fe57:e2c,2,142,2,0.000568,0.000576
fe80::4fc:d9ff:fe43:155b,fe80::4fc:d9ff:fe43:155b,2,142,1,0.001136,0.001136
fe80::6cde:51ff:fe6c:38bd,fe80::6cde:51ff:fe6c:38bd,2,142,2,0.000568,0.000576
fe80::b022:93ff:fec1:28da,fe80::b022:93ff:fec1:28da,2,142,1,0.001136,0.001136
fe80::ec75:a0ff:fe01:fffe,fe80::ec75:a0ff:fe01:fffe,2,142,2,0.000568,0.000576
fe80::f453:bdff:fefa:4219,fe80::f453:bdff:fefa:4219,2,142,1,0.001136,0.001136
fe80::6c60:4fff:fe34:775b,fe80::6c60:4fff:fe34:775b,1,70,1,0.00056,0.00056
