Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,67.4453125,1,5.0
apt-get,64.69921875,155.3671875,67.2578125,5,23.0
apt-listchanges,29.55859375,30.44921875,19.3125,1,1.0
discern-ansible,1205.34375,1205.34375,10.83203125,2,10.0
discern-file-so,1619.2584546232877,1719.5625,434.6640625,71,365.0
discern-logs-so,1205.4296875,1205.4296875,16.296875,55,281.0
discern-network,1891.558496364266,1897.51953125,101.17578125,71,361.0
discern-proc-so,1205.92578125,1205.92578125,16.46875,44,220.0
dpkg,21.3515625,21.55859375,17.82421875,3,16.0
pip3,103.96402138157895,295.19140625,287.76171875,7,38.0
python3,574.7413463731751,616.671875,249.9921875,52,274.0
python3.9,24.375,25.98828125,19.1328125,1,5.0
systemd-journal,58.51037946428571,65.1953125,24.37890625,42,210.0
