Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,209.6411711941076,211.1640625,203.27734375,4030,21112.0
discern-ansible,1205.34375,1205.34375,11.4765625,5,27.0
discern-file-so,1571.0786543456088,1591.6796875,384.45703125,4024,21201.0
discern-logs-so,1324.8366095430108,1397.62890625,207.77734375,4030,21204.0
discern-network,1833.578125,1863.1875,65.33984375,4030,21288.0
discern-proc-so,1205.9272486993063,1206.17578125,15.68359375,354,1874.0
python3,176.609375,232.35546875,15.98828125,1,5.0
server.py,171.75390625,235.75390625,19.53515625,2836,15054.0
systemd-journal,133.4591462898125,163.3671875,27.13671875,840,4427.0
