Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
server.py,1665.0,60.41950154900612,63.2917226936214,314
discern-file-so,1703.0,36.36594491479164,87.55397962655444,322
discern-proc-so,1711.0,2.643392840778952,5.666776919163585,322
kswapd0,1710.0,0.8232432000271898,0.8394511284234208,321
discern-network,1609.0,0.6175401924168624,0.6513887921057256,302
sshd,79.0,0.7406315284218938,1.3243074926624292,15
python3,32.0,0.973145239421064,1.3576933345162987,6
discern-logs-so,15.0,0.41685894123049005,0.41733101681768753,4
jbd2/vda2-8,15.0,0.38757653674445464,0.3882471953869539,3
systemd,4.0,0.5375150764983421,0.5375150764983421,1
