Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.6484375,155.3203125,68.6875,1,5.0
apt-get,63.45677923387097,155.3671875,67.26953125,5,31.0
apt-listchanges,29.55859375,30.44921875,19.41015625,1,5.0
discern-ansible,1205.34375,1205.34375,10.77734375,4,21.0
discern-cpu-sor,1204.234375,1204.234375,11.625,2,12.0
discern-file-so,1557.5583591710183,1591.1796875,371.2890625,71,383.0
discern-jupyter,1205.33203125,1205.33203125,9.953125,1,5.0
discern-logs-so,1205.4296875,1205.4296875,18.88671875,55,298.0
discern-network,1874.5932604438642,1881.0078125,116.80859375,71,383.0
discern-proc-so,1205.92578125,1205.92578125,16.51171875,28,152.0
dpkg,21.275111607142858,21.4609375,17.734375,2,14.0
git-remote-http,96.5234375,155.1171875,13.12109375,1,6.0
pip3,103.2271728515625,295.19140625,287.64453125,6,32.0
python3,574.2756314212329,857.1796875,449.8515625,55,292.0
systemd-journal,59.969844933712125,65.26953125,23.9609375,50,264.0
