Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,364.000,74.242,95.386,70
discern-file-so,265.000,55.041,72.189,52
discern-proc-so,1237.000,2.456,6.346,240
pip3,26.000,69.740,74.684,5
jbd2/vda2-8,1242.000,1.309,2.542,240
systemd,1242.000,0.471,1.980,241
kswapd0,746.000,0.393,0.698,145
apt-get,27.000,5.548,13.649,5
discern-network,477.000,0.286,0.366,92
dpkg,11.000,11.591,12.818,2
discern-logs-so,401.000,0.307,0.329,78
kworker/u2,156.000,0.705,1.801,30
dpkg-deb,5.000,18.861,18.861,1
apt,10.000,7.893,8.264,2
mandb,11.000,3.428,3.600,2
git-remote-http,5.000,7.263,7.263,1
git,5.000,6.602,6.602,1
sshd,21.000,0.881,1.652,4
OverallSystemRecord,991.000,27.885,99.336,191
