Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,60.8203125,155.328125,67.21484375,2,10.0
apt-get,64.703125,155.375,67.19921875,5,30.0
apt-listchanges,29.55859375,30.44921875,19.34375,1,5.0
dbus-daemon,20.833066114738806,22.375,16.1875,53,268.0
discern-file-so,1500.959831957547,1527.36328125,296.91015625,50,265.0
discern-interfa,1507.26953125,1507.26953125,24.546875,211,1089.0
discern-logs-so,1205.4296875,1205.4296875,27.9453125,230,1178.0
discern-network,1861.6266668775304,1889.578125,110.45703125,242,1235.0
discern-proc-so,1205.92578125,1205.92578125,19.6796875,217,1109.0
dpkg,21.29140625,21.44921875,17.734375,2,15.0
pip3,101.63040865384616,294.9609375,287.0546875,5,26.0
python3,587.6632683722528,869.0546875,460.7265625,70,364.0
systemd-journal,70.20268468196457,95.22265625,24.8359375,121,621.0
