Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,62.88439611486486,155.3203125,68.29296875,7,37.0
apt-get,64.69921875,155.3671875,67.359375,5,27.0
apt-listchanges,29.55859375,30.44921875,19.515625,1,5.0
discern-ansible,1205.34375,1205.34375,10.69921875,2,10.0
discern-file-so,1522.3967061271835,1527.11328125,292.41015625,90,458.0
discern-logs-so,1205.4296875,1205.4296875,17.03515625,75,392.0
discern-network,1875.9754025655022,1889.328125,105.1796875,90,458.0
discern-proc-so,1205.92578125,1205.92578125,16.51171875,50,255.0
dpkg,21.372012867647058,21.5078125,17.74609375,3,17.0
pip3,105.3449074074074,295.19140625,287.484375,5,27.0
python3,581.0958775111607,856.14453125,452.234375,67,336.0
python3.9,24.375,25.98828125,19.078125,1,6.0
systemd-journal,61.81124943794964,65.19921875,24.98046875,54,278.0
