Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,515.0,146.79684063906475,170.73659868619907,99
discern-file-so,652.0,47.98636835687199,72.62161493886603,126
dockerd,625.0,10.349136745257164,33.31535535428883,120
discern-proc-so,627.0,5.995939426156027,16.502681389111746,121
discern-network,589.0,3.8972337664015426,6.378994220170523,113
pip,22.0,89.0230313679936,93.00603846263598,4
cc1,10.0,88.91096127907868,95.21355358933513,2
dpkg-deb,25.0,33.02152758199787,82.57576955138427,5
exe,27.0,30.174555958857564,35.63991228055946,5
pip3,16.0,41.95471336695359,53.27102835463657,3
dpkg,30.0,18.62636827778426,32.56341511693,6
apt-get,25.0,15.399023834379033,39.66335348861252,5
apt,10.0,13.475349957178022,21.47865614863529,2
jbd2/vda2-8,42.0,1.9183728440076027,2.9417853246499135,10
python,5.0,11.655082161693127,11.655082161693127,1
containerd,11.0,3.2349149196148814,4.307284529230955,2
mandb,6.0,5.651108879823856,5.651108879823856,1
docker,5.0,3.9913018569760723,3.9913018569760723,1
systemd,14.0,1.3432664030683792,1.5606659239390945,4
