Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.58203125,155.25390625,68.8984375,3,16.0
apt-get,62.22866586538461,155.34375,69.0078125,5,26.0
cc1,119.3984375,119.3984375,102.60546875,1,5.0
containerd,1377.8898753156566,1378.13671875,49.2109375,20,99.0
discern-cpu-sor,1204.984375,1204.984375,12.3046875,2,7.0
discern-file-so,1624.7549263152841,1656.49609375,415.22265625,126,651.0
discern-logs-so,1205.9296875,1205.9296875,17.44140625,6,28.0
discern-network,2332.1902772411127,2426.15625,180.6171875,126,647.0
discern-proc-so,1206.3331886574074,1206.67578125,32.6796875,7,27.0
docker,1269.9527728505843,1382.19140625,56.484375,115,599.0
dockerd,1560.9547573678863,1630.9375,119.67578125,120,615.0
dpkg,21.391335227272727,21.53515625,17.8359375,2,11.0
exe,1277.7626488095239,1341.453125,87.21875,4,21.0
pip,82.29724702380952,98.6171875,94.28515625,4,21.0
pip3,58.240234375,67.53125,62.8671875,3,16.0
python3,3172.0912275784754,3465.50390625,1291.64453125,86,446.0
