Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,205.9981923411122,208.07421875,200.04296875,4096,21147.0
discern-ansible,1205.34375,1205.34375,11.3671875,135,704.0
discern-bash-so,1205.43359375,1205.43359375,9.671875,1,5.0
discern-cpu-sor,1205.359375,1205.359375,11.1640625,5,25.0
discern-file-so,1590.9436257478683,1591.6796875,379.75390625,4096,21227.0
discern-jupyter,1205.33203125,1205.33203125,10.96875,21,112.0
discern-logs-so,1260.575111323436,1333.5625,130.69140625,4096,21243.0
discern-network,1841.8359375,1863.1875,75.8671875,4096,21299.0
discern-os-sorc,1205.66015625,1205.66015625,10.703125,11,56.0
discern-proc-so,1206.0943465306784,1206.17578125,17.55859375,3026,15801.0
systemd-journal,114.99580745860042,147.421875,23.0625,897,4680.0
