Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,207.69140625,207.69140625,201.578125,4202,22650.0
discern-ansible,1205.34375,1205.34375,11.7265625,93,481.0
discern-bash-so,1205.43359375,1205.43359375,10.515625,8,42.0
discern-cpu-sor,1205.359375,1205.359375,12.0078125,201,1147.0
discern-file-so,1593.9198997949861,1719.5625,397.73046875,4143,22468.0
discern-jupyter,1205.33203125,1205.33203125,11.16796875,25,129.0
discern-logs-so,1528.8838048667128,1845.84375,418.47265625,3780,19835.0
discern-network,1834.14453125,1834.14453125,72.7734375,4202,22746.0
discern-os-sorc,1205.66015625,1205.66015625,10.26953125,10,52.0
discern-proc-so,1206.1183334124983,1206.17578125,19.6640625,2613,14474.0
systemd-journal,110.16579188234834,153.37109375,23.72265625,1730,9611.0
