Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt-get,64.69921875,155.3671875,67.12109375,3,23.0
apt-listchanges,29.55859375,30.44921875,19.24609375,1,9.0
discern-ansible,1205.34375,1205.34375,10.73828125,4,21.0
discern-file-so,1561.5992590601966,1591.4296875,331.94921875,76,407.0
discern-logs-so,1205.4296875,1205.4296875,16.3203125,52,271.0
discern-network,1880.8495757831695,1889.265625,112.453125,76,407.0
discern-proc-so,1205.92578125,1205.92578125,16.47265625,30,160.0
dpkg,21.34765625,21.34765625,17.578125,1,9.0
pip3,110.88723273026316,295.19140625,287.625,7,38.0
python3,574.7933309188742,614.78125,237.84375,57,302.0
systemd-journal,58.4117431640625,65.19921875,26.14453125,73,384.0
