Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,62.596833881578945,155.27734375,67.3125,3,19.0
apt-get,62.328848379629626,155.3671875,67.5546875,5,27.0
cc1,164.359375,164.359375,148.140625,1,6.0
containerd,1378.1051608682267,1378.13671875,49.953125,77,406.0
discern-file-so,1638.5719411057692,1720.625,539.515625,124,650.0
discern-logs-so,1205.9296875,1205.9296875,15.921875,4,18.0
discern-network,2385.4089534781074,2434.16015625,178.00390625,68,354.0
discern-proc-so,1206.3890165441176,1206.67578125,30.69921875,7,34.0
docker,1354.4853135575297,1452.5078125,52.36328125,112,591.0
dockerd,1549.0701352309563,1630.875,114.25,118,617.0
dpkg,21.369140625,21.53125,17.82421875,2,10.0
exe,1301.7877604166667,1349.70703125,87.5546875,3,15.0
pip,76.63411458333333,97.99609375,93.57421875,3,15.0
pip3,63.52783203125,81.0390625,76.1875,3,16.0
python3,3186.1521871520044,3467.078125,1331.81640625,85,449.0
python3.9,24.625,25.98828125,19.21484375,1,6.0
systemd,161.09375,224.04296875,14.078125,2,8.0
systemd-journal,57.34765625,57.34765625,19.1328125,2,5.0
