Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,69.16796875,3,12.0
apt-get,62.864095052083336,155.3671875,67.3359375,6,24.0
cc1,231.41015625,231.41015625,215.4609375,1,2.0
containerd,1416.8176696575908,1513.890625,47.953125,104,303.0
dbus-daemon,143.9191985183275,156.765625,148.5859375,716,3151.0
discern-cpu-sor,1204.484375,1204.484375,12.25390625,15,67.0
discern-file-so,1688.0645741150443,1720.625,454.66015625,240,791.0
discern-logs-so,1356.0181104842243,1397.62890625,179.21875,780,3423.0
discern-network,1915.6073845731473,2290.21484375,174.75390625,927,3927.0
discern-proc-so,1206.42578125,1206.42578125,20.66015625,29,122.0
docker,1281.9304265202702,1381.87890625,56.3828125,103,333.0
dockerd,1515.3751243195143,1631.125,120.1015625,190,597.0
dpkg,21.43359375,21.57421875,17.84375,2,8.0
exe,1349.92703125,1485.7109375,87.765625,10,25.0
pip,80.732421875,99.421875,94.86328125,4,12.0
pip3,62.265625,67.53125,62.8828125,2,4.0
python3,726.2189976080132,3436.20703125,1284.6015625,1476,6689.0
systemd-journal,55.61185778601695,57.375,18.9921875,41,118.0
