Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,21710.0,42.30189378425869,88.2563900420448,3728
discern-logs-so,18696.0,5.278206334390577,27.861840392941957,3162
discern-proc-so,22027.0,3.397610977131861,59.15431834273975,3741
kswapd0,22040.0,1.1452212267214015,1.7274680252491394,3726
kworker/0,19923.0,0.7808091239324346,3.2223910898533434,3191
python3,1902.0,0.8867044015143063,16.49592588912463,322
systemd-journal,4457.0,0.25821334181496963,0.705391964991732,849
apt-get,5.0,27.170552741476985,27.170552741476985,1
ping,15.0,4.85415044488237,9.322043095790939,3
systemd,23.0,0.84253109312635,1.6111421227327212,6
sh,5.0,2.0169803383904106,2.0169803383904106,1
discern-network,26.0,0.17273665087961204,0.17486545124583305,5
sshd,0.0,,12.274901388578323,1
